System	Alignment	Angle	Distance	Energy	Uqq	Uqd	Udd	Dipole Moment
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	0.0	2.0	[[-1.46244578]]	-1.43601569078	[[-0.05286018]]	[[ 0.02643009]]	[[ 0.01281208  0.03411808  0.28093063]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	0.0	2.5	[[-1.23302816]]	-1.22513510117	[[-0.01578612]]	[[ 0.00789306]]	[[ 0.01017863  0.02395551  0.21162892]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	0.0	3.0	[[-1.02723894]]	-1.02383371201	[[-0.00681045]]	[[ 0.00340522]]	[[ 0.00775572  0.01452604  0.15266397]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	0.0	3.5	[[-0.85178316]]	-0.850242947966	[[-0.00308043]]	[[ 0.00154022]]	[[ 0.00555042  0.00850434  0.1089003 ]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	0.0	4.0	[[-0.70768012]]	-0.70695475306	[[-0.00145073]]	[[ 0.00072537]]	[[ 0.00377081  0.00498831  0.0777286 ]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	0.0	4.5	[[-0.59135665]]	-0.591001523977	[[-0.00071025]]	[[ 0.00035513]]	[[ 0.00246571  0.00297806  0.05585721]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	0.0	5.0	[[-0.49804743]]	-0.497866833591	[[-0.0003612]]	[[ 0.0001806]]	[[ 0.00157327  0.00182155  0.0405724 ]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	0.0	5.5	[[-0.42316446]]	-0.423069127307	[[-0.00019066]]	[[  9.53306042e-05]]	[[ 0.00099046  0.00114431  0.02985835]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	0.0	6.0	[[-0.3627876]]	-0.3627354332	[[-0.00010433]]	[[  5.21633568e-05]]	[[ 0.00061982  0.00073856  0.0222887 ]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	0.0	6.5	[[-0.31375848]]	-0.313728944817	[[ -5.90678499e-05]]	[[  2.95339250e-05]]	[[ 0.00038702  0.00048934  0.01688109]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	0.0	7.0	[[-0.27360892]]	-0.273591652148	[[ -3.45277078e-05]]	[[  1.72638539e-05]]	[[ 0.00024126  0.00033235  0.01296803]]
8Tcatmul.xyz:PCBM_EDITEDO_anion_mul	4th_ring	0.0	7.5	[[-0.24043794]]	-0.240427547194	[[ -2.07880556e-05]]	[[  1.03940278e-05]]	[[ 0.00014982  0.000231    0.01009766]]